Time(s),Value(bpm)
1719.0249198,94.0
1719.1499198,94.0
1719.2749198,94.0
1719.3999198,94.0
1719.5249198,94.0
1719.6499198,94.0
1719.7749198,94.0
1719.8999198,94.0
1720.0249198,94.0
1720.1499198,94.0
1720.2749198,94.0
1720.3999198,94.0
1720.5249198,94.0
1720.6499198,96.0
1720.7749198,96.0
1720.8999198,96.0
1721.0249198,96.0
1721.1499198,96.0
1721.2749198,96.0
1721.3999198,96.0
1721.5249198,96.0
1721.6499198,96.0
1721.7749198,96.0
1721.8999198,96.0
1722.0249198,96.0
1722.1499198,96.0
1722.2749198,96.0
1722.3999198,96.0
1722.5249198,96.0
1722.6499198,96.0
1722.7749198,96.0
1722.8999198,96.0
1723.0249198,96.0
1723.1499198,96.0
1723.2749198,96.0
1723.3999198,96.0
1723.5249198,96.0
1723.6499198,96.0
1723.7749198,96.0
1723.8999198,96.0
1724.0249198,96.0
1724.1499198,96.0
1724.2749198,96.0
1724.3999198,96.0
1724.5249198,96.0
1724.6499198,94.0
1724.7749198,94.0
1724.8999198,94.0
1725.0249198,94.0
1725.1499198,94.0
1725.2749198,94.0
1725.3999198,94.0
1725.5249198,94.0
1725.6499198,94.0
1725.7749198,94.0
1725.8999198,94.0
1726.0249198,94.0
1726.1499198,94.0
1726.2749198,94.0
1726.3999198,94.0
1726.5249198,94.0
1726.6499198,94.0
1726.7749198,94.0
1726.8999198,94.0
1727.0249198,94.0
1727.1499198,94.0
1727.2749198,94.0
1727.3999198,94.0
1727.5249198,94.0
1727.6499198,96.0
1727.7749198,96.0
1727.8999198,96.0
1728.0249198,96.0
1728.1499198,96.0
1728.2749198,96.0
1728.3999198,96.0
1728.5249198,96.0
1728.6499198,98.0
1728.7749198,98.0
1728.8999198,98.0
1729.0249198,98.0
1729.1499198,98.0
1729.2749198,98.0
1729.3999198,98.0
1729.5249198,98.0
1729.6499198,98.0
1729.7749198,99.0
1729.8999198,99.0
1730.0249198,99.0
1730.1499198,99.0
1730.2749198,99.0
1730.3999198,99.0
1730.5249198,99.0
1730.6499198,99.0
1730.7749198,99.0
1730.8999198,99.0
1731.0249198,99.0
1731.1499198,99.0
1731.2749198,99.0
1731.3999198,99.0
1731.5249198,99.0
1731.6499198,99.0
1731.7749198,96.0
1731.8999198,96.0
1732.0249198,96.0
1732.1499198,96.0
1732.2749198,96.0
1732.3999198,96.0
1732.5249198,96.0
1732.6499198,96.0
1732.7749198,96.0
1732.8999198,96.0
1733.0249198,96.0
1733.1499198,96.0
1733.2749198,96.0
1733.3999198,96.0
1733.5249198,96.0
1733.6499198,96.0
1733.7749198,95.0
1733.8999198,95.0
1734.0249198,95.0
1734.1499198,95.0
1734.2749198,95.0
1734.3999198,95.0
1734.5249198,95.0
1734.6499198,95.0
1734.7749198,95.0
1734.8999198,95.0
1735.0249198,95.0
1735.1499198,95.0
1735.2749198,95.0
1735.3999198,95.0
1735.5249198,95.0
1735.6499198,95.0
1735.7749198,95.0
1735.8999198,95.0
1736.0249198,95.0
1736.1499198,95.0
1736.2749198,95.0
1736.3999198,95.0
1736.5249198,95.0
1736.6499198,95.0
1736.7749198,95.0
1736.8999198,95.0
1737.0249198,95.0
1737.1499198,95.0
1737.2749198,95.0
1737.3999198,95.0
1737.5249198,95.0
1737.6499198,95.0
1737.7749198,94.0
1737.8999198,94.0
1738.0249198,94.0
1738.1499198,94.0
1738.2749198,94.0
1738.3999198,94.0
1738.5249198,94.0
1738.6499198,94.0
1738.7749198,94.0
1738.8999198,94.0
